"fact_id","weather_key","county_key","air_key","ypll","fair_poor_health","physically_unhealthy","mentally_unhealthy","smokers","obese","drinking","unemployed","uninsured"
4771,300924,59260,26407,"9975.2","16.60","3.89","4.13","22.20","35.20","16.81","4.37","8.22"
4772,300925,59261,26408,"11016.9","16.60","3.89","4.13","22.20","37.10","16.81","4.23","7.11"
4773,300926,59262,26409,"10999","17.30","4.28","4.53","21.36","35.80","17.71","4.13","6.95"
4774,300927,67483,26410,"12011.5","21.74","4.89","5.47","27.46","36.00","16.99","3.89","7.64"
4775,301044,6830,26441,"8101.8","13.81","3.96","4.13","23.61","30.20","18.87","5.50","13.10"
4776,301045,59263,26442,"8108.9","13.90","3.90","4.10","23.10","30.90","19.50","8.30","16.40"
4777,301046,59264,26443,"8044.8","14.10","3.90","4.20","22.70","30.90","19.20","8.50","15.70"
4778,301047,59265,26444,"7870","14.20","3.70","4.00","20.70","30.90","18.70","7.60","15.10"
4779,301048,59266,26445,"7870","15.00","3.70","3.90","19.70","30.30","18.70","6.14","15.29"
4780,301049,59267,26446,"7650.5","15.00","3.70","3.90","19.70","29.50","18.70","6.23","15.26"
4781,301050,59268,26447,"7616.8","16.90","3.90","4.10","18.70","29.20","19.70","4.76","14.72"
4782,301051,59269,26448,"7484.5","15.09","3.65","3.93","19.66","29.70","20.27","4.07","11.16"
4783,301052,59270,26449,"7631.5","15.73","3.56","4.18","19.27","29.30","19.72","4.03","9.16"
4784,301053,59271,26450,"8097.7","15.73","3.56","4.18","19.27","29.10","19.72","4.02","7.94"
4785,301054,59272,26451,"8233.5","16.55","3.85","4.38","19.93","29.90","21.29","3.81","8.18"
4786,301055,67484,26452,"8284.8","16.36","3.73","4.56","19.00","30.20","17.69","3.52","8.89"
4787,301307,59289,26460,"11043.5","18.63","4.36","4.18","21.55","32.30","14.92","6.49","12.06"
4788,301308,59290,26461,"10713.1","21.22","4.38","4.36","22.61","31.30","16.02","6.67","8.99"
4789,301309,59291,26462,"11695.8","21.22","4.38","4.36","22.61","35.80","16.02","6.72","7.72"
4790,301310,59292,26463,"12658.9","20.68","4.55","4.72","20.90","38.20","16.39","6.12","8.53"
4791,301311,67486,26464,"12844.3","22.63","5.15","5.36","26.82","40.90","16.70","5.44","9.49"
4792,301428,6863,26482,"4916.2","8.83","2.59","2.57","11.75","27.20","11.36","5.40","15.20"
4793,301429,59293,26483,"4999.8","8.20","2.50","3.30","14.60","27.30","18.30","7.50","14.30"
4794,301430,59294,26484,"4845.3","7.60","2.60","3.10","15.70","24.40","21.00","7.60","11.90"
4795,301431,59295,26485,"4305.9","6.60","2.80","3.20","17.70","24.40","20.00","6.50","12.70"
4796,301432,59296,26486,"4305.9","5.50","2.80","3.10","17.00","27.50","20.10","5.97","12.49"
4797,301433,59297,26487,"4917.1","5.50","2.80","3.10","17.00","26.10","20.10","6.38","13.19"
4798,301434,59298,26488,"4847.6","12.90","3.30","3.70","16.10","27.60","18.40","5.13","13.42"
4799,301435,59299,26489,"4511.3","13.03","3.22","3.59","16.13","27.00","17.40","4.03","10.12"
4800,301436,59300,26490,"4243","11.97","3.33","3.56","15.73","29.90","18.21","4.42","9.13"
4801,301437,59301,26491,"5501.4","11.97","3.33","3.56","15.73","28.20","18.21","4.77","8.35"
4802,301438,59302,26492,"5483.6","13.19","3.50","3.96","16.91","24.80","19.45","4.33","8.89"
4803,301439,67487,26493,"5304.7","14.70","3.69","4.31","18.78","25.70","18.51","3.46","9.01"
4804,301556,6874,26518,"5820.6","11.59","2.91","2.97","19.53","28.60","11.08","6.20","12.20"
4805,301557,59303,26519,"5766.6","11.10","2.90","2.90","20.60","29.00","12.90","9.60","14.00"
4806,301558,59304,26520,"5858.3","12.70","2.90","3.00","18.60","29.90","13.30","10.00","11.70"
4807,301559,59305,26521,"6319.1","11.90","2.60","2.80","16.90","29.90","13.10","8.40","12.30"
4808,301560,59306,26522,"6319.1","11.20","2.70","2.80","16.40","26.00","13.90","7.03","10.36"
4809,301561,59307,26523,"6103.5","11.20","2.70","2.80","16.40","25.10","13.90","7.16","10.86"
4810,301562,59308,26524,"5778.9","14.60","3.70","3.80","18.30","28.50","18.60","5.19","11.22"
4811,301563,59309,26525,"5848","14.76","3.52","3.73","18.37","31.30","18.45","4.39","9.29"
4812,301564,59310,26526,"5904.7","14.48","3.66","3.64","17.77","32.20","19.01","4.30","6.03"
4813,301565,59311,26527,"6646","14.48","3.66","3.64","17.77","29.80","19.01","4.27","5.42"
4814,301566,59312,26528,"6598.3","16.43","4.02","4.28","17.57","29.60","19.07","4.05","5.98"
4815,301567,67488,26529,"6822.2","16.26","3.80","4.59","18.64","31.00","18.19","3.74","6.38"
4816,301694,59322,26531,"9450.1","18.66","4.28","4.72","21.57","36.40","17.38","5.53","8.60"
4817,301695,67489,26532,"10030.8","21.59","4.97","5.63","27.00","35.50","16.48","5.46","9.17"
4818,301812,6896,26564,"8429.6","11.49","3.14","3.95","21.95","26.60","18.37","5.60","12.40"
4819,301813,59323,26565,"8316.7","12.10","3.20","3.80","21.00","26.90","20.30","8.90","15.00"
4820,301814,59324,26566,"8128.3","11.80","3.10","3.90","20.60","27.10","20.20","9.40","13.90"
4821,301815,59325,26567,"8200.7","12.60","3.20","4.00","20.30","27.10","20.00","8.60","14.20"
4822,301816,59326,26568,"8200.7","13.20","3.30","3.70","18.90","28.40","20.40","7.04","13.95"
4823,301817,59327,26569,"8093.6","13.20","3.30","3.70","18.90","28.90","20.40","7.12","12.84"
4824,301818,59328,26570,"8203.3","15.50","3.70","4.00","19.60","28.90","18.80","5.34","13.23"
4825,301819,59329,26571,"8384.7","15.17","3.68","3.62","18.56","29.20","19.49","4.49","10.09"
4826,301820,59330,26572,"8713.3","15.75","3.78","4.05","18.23","28.90","19.40","4.35","7.50"
4827,301821,59331,26573,"9138","15.75","3.78","4.05","18.23","28.40","19.40","4.38","6.25"
4828,301822,59332,26574,"9116.5","18.30","4.09","4.67","19.33","29.10","19.76","4.11","6.84"
4829,301823,67490,26575,"9110","17.81","4.01","4.57","19.95","30.70","20.31","3.78","7.01"
4830,301940,6907,26598,"6279.7","8.99","3.16","3.02","19.97","29.80","13.53","5.80","11.90"
4831,301941,59333,26599,"5710.5","10.20","3.00","2.90","18.70","29.90","14.50","10.30","13.60"
4832,301950,59342,26600,"7816.3","14.44","3.94","4.15","18.37","33.00","18.38","3.41","6.29"
4833,301951,67491,26601,"7731.3","16.03","3.83","4.71","20.26","35.70","18.78","3.16","6.77"
4834,302204,59360,26606,"9157.9","16.55","3.98","4.09","20.79","35.50","18.01","7.52","8.05"
4835,302205,59361,26607,"9277.4","16.55","3.98","4.09","20.79","34.70","18.01","6.00","7.24"
4836,302206,59362,26608,"9904.4","18.17","4.24","4.61","20.20","35.30","17.00","5.25","7.82"
4837,302207,67493,26609,"7855.3","21.45","4.77","5.15","26.94","37.70","16.75","5.25","8.13"
4838,303092,7006,26651,"9791.9","22.79","4.74","3.58",NULL,"30.80","19.06","7.10","11.10"
4839,303093,59423,26652,"9896.1","23.00","4.80","3.70","30.90","32.20","17.60","12.10","13.20"
4840,303094,59424,26653,"9337.9","23.10","4.70","4.40","26.20","36.50","16.70","13.40","13.20"
4841,303095,59425,26654,"9573.5","24.30","4.10","4.40","28.50","36.50","18.60","11.20","14.30"
4842,303096,59426,26655,"9573.5","25.20","4.10","4.70","29.30","36.10","19.50","10.31","14.57"
4843,303097,59427,26656,"10707.9","25.20","4.10","4.70","29.30","33.30","19.50","10.20","13.83"
4844,303098,59428,26657,"10684.2","18.10","4.10","4.40","21.10","33.60","16.90","8.00","12.86"
4845,303099,59429,26658,"10329.3","17.33","4.01","4.25","21.90","36.60","16.66","7.42","9.54"
4846,303100,59430,26659,"10460.3","19.19","4.17","4.22","21.42","36.10","18.62","8.28","7.25"
